WiseMetering realtime, exported on November 17, 2016 18:05, by Pedro Castanheira of Vodafone.;;;;;;;;;;;;;;;;;
From January 01, 2016 00:00 to September 30, 2016 23:59, with a rate of 15 minutes.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
weekday;day;month;year;time;EA+ IT OMCs (KWh);EA+ IT BVTP0 (KWh);EA+ IT SNT (KWh);EA+ IT FMC (KWh);EA+ IT MAT (KWh);EA+ IT FNC (KWh);EA+ IT CMB (KWh);EA+ IT PDG (KWh);EA+ IT AVR (KWh);EA+ IT FAR (KWh);EA+ IT ALF1P-1 (KWh);EA+ IT RAN (KWh);EA+ IT PTM (KWh)
Thu;16;06;2016;10:30;267,16;53,99;24,37;17,03;35,84;3,76;14,93;3,95;20,45;8,88;53,1;28,8;2,08
Thu;16;06;2016;10:45;266,88;54,03;24,4;17,06;35,97;3,76;14,92;3,94;20,69;8,89;52,24;28,84;2,14
Thu;16;06;2016;11:00;268,69;54,02;24,33;17,06;35,97;3,76;14,86;3,95;20,66;9,85;53,26;28,86;2,11
Thu;16;06;2016;11:15;268,45;54,1;24,34;17,02;36,85;3,8;14,82;3,95;20,67;8,86;53,13;28,82;2,1
Thu;16;06;2016;11:30;268,23;54,09;24,37;16,99;35,99;3,79;14,81;3,94;20,72;9,15;53,41;28,87;2,1
Thu;16;06;2016;11:45;280,85;54,11;24,37;17,01;36;3,8;14,82;3,95;20,7;9,15;65,99;28,85;2,11
Thu;16;06;2016;12:00;281,65;54,06;24,34;17,03;36,93;3,8;14,8;3,96;20,71;9,15;65,99;28,79;2,1
Thu;16;06;2016;12:15;267,99;53,95;24,32;17,04;35,91;3,79;14,79;3,97;20,71;9,15;53,39;28,87;2,11
Thu;16;06;2016;12:30;268,69;53,94;24,37;17,01;35,99;3,8;14,79;3,97;20,71;9,89;53,22;28,88;2,11
Thu;16;06;2016;12:45;266,34;53,89;24,3;17,03;35,96;3,79;14,78;3,95;20,71;8,87;52,09;28,85;2,11
Thu;16;06;2016;13:00;268,74;53,95;24,37;17,03;36,97;3,79;14,78;3,95;20,7;8,89;53,3;28,91;2,09
Thu;16;06;2016;13:15;267,44;53,99;24,31;17,03;36,03;3,78;14,77;3,93;20,72;8,89;53,05;28,85;2,09
Thu;16;06;2016;13:30;267,33;53,94;24,34;17,07;35,91;3,79;14,77;3,93;20,62;9,88;52,18;28,83;2,08
Thu;16;06;2016;13:45;268,56;53,91;24,32;17,09;36,95;3,8;14,77;3,93;20,73;8,89;53,23;28,88;2,08
Thu;16;06;2016;14:00;267,85;54,05;24,37;17,07;36,02;3,79;14,78;3,93;20,73;8,9;53,23;28,91;2,08
Thu;16;06;2016;14:15;267,63;53,99;24,34;17,06;35,96;3,8;14,77;3,93;20,72;9,86;52,18;28,94;2,08
Thu;16;06;2016;14:30;268,58;54,07;24,29;17,06;36,96;3,81;14,77;3,93;20,74;8,88;53,31;28,93;1,83
Thu;16;06;2016;14:45;265,56;54,03;24,34;17,07;35,93;3,8;14,77;3,94;20,75;8,86;53,18;28,88;0,02
Thu;16;06;2016;15:00;264,58;54,06;24,3;17,1;35,94;3,8;14,76;3,95;20,75;8,85;52,2;28,85;0,02
Thu;16;06;2016;15:15;266,61;54,05;24,33;17,08;36,05;3,82;14,58;3,94;20,72;9,86;53,28;28,89;0,01
Thu;16;06;2016;15:30;273,8;54,01;24,31;17,09;36,95;3,82;14,83;3,95;27,93;8,85;53,18;28,86;0,02
Thu;16;06;2016;15:45;272,87;54,04;24,34;17,07;35,94;3,81;14,79;3,96;27,93;8,88;53,17;28,91;0,02
Thu;16;06;2016;16:00;257,62;54,01;24,33;17,08;36,11;3,81;14,71;3,96;13,55;8,87;52,34;28,82;0,02
Thu;16;06;2016;16:15;275,44;54,04;24,38;17,07;36,87;3,8;14,63;3,96;13,55;9,88;53,24;28,86;15,16
Thu;16;06;2016;16:30;267,84;54,05;24,33;17,08;35,98;3,8;14,8;3,96;20,75;8,89;53,3;28,82;2,1
Thu;16;06;2016;16:45;266,74;54,09;24,32;17,08;35,93;3,81;14,81;3,96;20,75;8,84;52,21;28,88;2,08
Thu;16;06;2016;17:00;268,79;54;24,35;17,1;35,94;3,8;14,76;3,94;20,75;9,85;53,34;28,89;2,09
Thu;16;06;2016;17:15;268,81;54,04;24,34;17,08;37,01;3,8;14,82;3,94;20,79;8,89;53,14;28,88;2,09
Thu;16;06;2016;17:30;266,92;54,03;24,37;17,09;36,03;3,79;14,82;3,94;20,74;8,85;52,31;28,87;2,1
Thu;16;06;2016;17:45;267,56;54;24,29;17,09;35,95;3,79;14,81;3,92;20,74;8,87;53,17;28,88;2,08
Thu;16;06;2016;18:00;269,72;53,96;24,39;17,09;36,93;3,79;14,85;3,92;20,71;9,88;53,29;28,84;2,07
Thu;16;06;2016;18:15;266,6;54,03;24,37;17,09;35,93;3,78;14,8;3,93;20,8;8,87;52,14;28,81;2,07
Thu;16;06;2016;18:30;267,76;54,02;24,41;17,08;36,02;3,79;14,8;3,93;20,74;8,89;53,24;28,8;2,06
Thu;16;06;2016;18:45;267,78;54,14;24,29;17,08;35,93;3,78;14,85;3,92;20,76;8,85;53,3;28,84;2,06
Thu;16;06;2016;19:00;267,78;53,92;24,39;17,07;36,99;3,79;14,79;3,92;20,72;9,19;52,12;28,82;2,06
Thu;16;06;2016;19:15;269,14;53,95;24,37;17,07;35,9;3,79;14,76;3,92;22,1;9,19;53,26;28,77;2,06
Thu;16;06;2016;19:30;266,32;53,97;24,32;17,07;35,94;3,79;14,76;3,92;19,39;9,19;53,15;28,78;2,06
Thu;16;06;2016;19:45;268,03;53,92;24,37;17,07;36,01;3,79;14,84;3,92;20,78;9,19;53,28;28,82;2,06
Thu;16;06;2016;20:00;267,89;53,93;24,41;17,08;36,92;3,78;14,79;3,92;20,75;9,19;52,29;28,75;2,06
Thu;16;06;2016;20:15;267,58;53,98;24,31;17,07;35,94;3,79;14,82;3,92;20,71;9,19;53,04;28,77;2,05
Thu;16;06;2016;20:30;266,47;53,93;24,41;17,09;35,96;3,8;14,83;3,92;20,71;8,84;52,17;28,8;2,01
Thu;16;06;2016;20:45;268,34;53,86;24,34;17,09;36,93;3,79;14,77;3,92;20,79;8,87;53,17;28,81;2,01
Thu;16;06;2016;21:00;268,71;53,95;24,43;17,09;35,99;3,78;14,82;3,92;20,74;9,82;53,32;28,85;2,01
Thu;16;06;2016;21:15;266,44;53,93;24,42;17,07;35,94;3,78;14,83;3,92;20,75;8,86;52,12;28,8;2,02
Thu;16;06;2016;21:30;267,6;53,97;24,42;17,09;35,97;3,8;14,81;3,92;20,74;8,86;53,19;28,82;2,01
Thu;16;06;2016;21:45;268,46;53,97;24,42;17,08;36,91;3,8;14,76;3,92;20,74;8,82;53,2;28,83;2,02
Thu;16;06;2016;22:00;267,67;53,95;24,42;17,07;36,03;3,78;14,81;3,92;20,79;9,84;52,17;28,88;2,02
Thu;16;06;2016;22:15;267,42;53,89;24,42;17,06;35,92;3,76;14,83;3,92;20,73;8,83;53,24;28,78;2,02
Thu;16;06;2016;22:30;267,36;53,88;24,42;17,07;35,99;3,76;14,78;3,92;20,75;8,87;53,1;28,81;2,01
Thu;16;06;2016;22:45;267,64;53,94;24,45;17,07;37;3,76;14,86;3,92;20,78;8,85;52,17;28,82;2,02
Thu;16;06;2016;23:00;268,28;53,93;24,39;17,06;35,91;3,76;14,8;3,92;20,74;9,82;53,15;28,78;2,01
Thu;16;06;2016;23:15;267,38;53,89;24,41;17,04;35,96;3,8;14,81;3,92;20,72;8,86;53,23;28,75;2,01
Thu;16;06;2016;23:30;267,14;53,87;24,43;17,04;36,86;3,8;14,83;3,91;20,71;8,83;52,01;28,83;2,02
Thu;16;06;2016;23:45;267,07;53,79;24,37;17,04;35,89;3,77;14,79;3,92;20,71;8,82;53,2;28,76;2,02
Fri;17;06;2016;00:00;268,17;53,86;24,42;17,05;35,84;3,78;14,84;3,91;20,7;9,85;53,15;28,76;2,02
Fri;17;06;2016;00:15;265,87;53,76;24,37;17,04;35,88;3,78;14,81;3,92;20,7;8,84;52,04;28,74;2,02
Fri;17;06;2016;00:30;267,75;53,75;24,42;17,01;36,9;3,77;14,74;3,91;20,68;8,86;53,02;28,69;2,01
Fri;17;06;2016;00:45;266,59;53,69;24,42;16,99;35,75;3,78;14,73;3,92;20,68;8,81;53,18;28,64;2,01
Fri;17;06;2016;01:00;266,47;53,69;24,37;17,01;35,79;3,79;14,76;3,92;20,67;9,85;51,86;28,75;2,01
Fri;17;06;2016;01:15;266,46;53,7;24,35;16,97;35,72;3,79;14,84;3,91;20,65;8,83;53,03;28,65;2,01
Fri;17;06;2016;01:30;266,48;53,6;24,36;16,99;36,81;3,79;14,84;3,91;20,67;8,85;51,99;28,67;2,02
Fri;17;06;2016;01:45;266,37;53,55;24,33;16,95;35,79;3,77;14,84;3,92;20,67;8,8;53,02;28,63;2,1
Fri;17;06;2016;02:00;266,29;53,65;24,31;16,95;35,7;3,76;14,84;3,91;20,62;9,82;51,96;28,72;2,04
Fri;17;06;2016;02:15;267,06;53,54;24,31;16,94;36,66;3,77;14,84;3,91;20,65;8,82;52,98;28,62;2,01
Fri;17;06;2016;02:30;266,07;53,54;24,32;16,96;35,72;3,76;14,85;3,91;20,62;8,83;52,86;28,68;2,01
Fri;17;06;2016;02:45;265,19;53,59;24,37;16,95;35,65;3,76;14,84;3,92;20,62;8,82;52,04;28,62;2,01
Fri;17;06;2016;03:00;267,02;53,58;24,29;16,94;35,62;3,76;14,84;3,91;20,62;9,82;52,93;28,7;2,01
Fri;17;06;2016;03:15;266,13;53,58;24,35;16,95;36,7;3,76;14,84;3,91;20,59;8,82;52;28,63;2,01
Fri;17;06;2016;03:30;265,91;53,57;24,3;16,97;35,6;3,77;14,83;3,92;20,61;8,85;52,88;28,61;2,01
Fri;17;06;2016;03:45;266,05;53,52;24,35;16,95;35,68;3,73;14,84;3,91;20,57;8,83;53,06;28,6;2,01
Fri;17;06;2016;04:00;265,91;53,58;24,33;16,96;35,66;3,73;14,83;3,91;20,59;9,83;51,86;28,64;2
Fri;17;06;2016;04:15;266,85;53,5;24,27;16,96;36,66;3,73;14,83;3,92;20,62;8,79;52,95;28,62;2,01
Fri;17;06;2016;04:30;264,72;53,56;24,31;16,93;35,57;3,74;14,83;3,91;20,54;8,85;51,89;28,59;2,01
Fri;17;06;2016;04:45;265,74;53,51;24,29;16,92;35,66;3,73;14,83;3,91;20,58;8,81;52,91;28,57;2,01
Fri;17;06;2016;05:00;267,11;53,59;24,34;16,92;36,7;3,73;14,85;3,91;20,54;8,83;53,02;28,68;2,01
Fri;17;06;2016;05:15;265,61;53,52;24,28;16,91;35,56;3,73;14,83;3,91;20,56;9,83;51,89;28,58;2
Fri;17;06;2016;05:30;265,62;53,57;24,27;16,91;35,6;3,73;14,83;3,91;20,56;8,85;52,83;28,55;2,01
Fri;17;06;2016;05:45;264,91;53,58;24,32;16,92;35,65;3,74;14,83;3,91;20,63;8,82;51,96;28,55;2,01
Fri;17;06;2016;06:00;266,65;53,48;24,28;16,91;36,59;3,73;14,83;3,91;20,54;8,87;52,93;28,57;2,01
Fri;17;06;2016;06:15;265,69;53,61;24,26;16,92;35,61;3,73;14,84;3,92;20,56;9,8;51,88;28,57;2
Fri;17;06;2016;06:30;265,93;53,6;24,29;16,92;35,71;3,73;14,83;3,91;20,6;8,83;52,95;28,55;2,02
Fri;17;06;2016;06:45;265,97;53,6;24,32;16,92;35,61;3,74;14,83;3,91;20,59;8,86;53,02;28,58;2,01
Fri;17;06;2016;07:00;265,76;53,59;24,29;16,92;36,62;3,73;14,83;3,91;20,57;8,82;51,9;28,56;2,01
Fri;17;06;2016;07:15;267,09;53,65;24,29;16,95;35,7;3,73;14,84;3,91;20,57;9,84;53,03;28,57;2,02
Fri;17;06;2016;07:30;264,92;53,61;24,32;16,95;35,61;3,74;14,84;3,91;20,6;8,83;51,92;28,57;2,01
Fri;17;06;2016;07:45;267,16;53,66;24,41;16,95;36,6;3,74;14,84;3,91;20,61;8,86;52,95;28,64;2,01
Fri;17;06;2016;08:00;266,2;53,72;24,26;16,95;35,69;3,74;14,84;3,92;20,61;8,84;53;28,63;2,01
Fri;17;06;2016;08:15;266,42;53,7;24,39;16,95;35,71;3,74;14,85;3,91;20,61;9,89;52,03;28,63;2,02
Fri;17;06;2016;08:30;266,51;53,68;24,39;17;35,71;3,74;14,88;3,91;20,62;8,83;53,04;28,7;2,01
Fri;17;06;2016;08:45;267,83;53,82;24,34;17,02;36,76;3,75;14,88;3,91;20,64;8,89;53,15;28,65;2,01
Fri;17;06;2016;09:00;265,83;53,7;24,4;17,01;35,73;3,77;14,88;3,92;20,64;8,86;52,17;28,73;2,02
Fri;17;06;2016;09:15;267,96;53,8;24,41;17,06;35,81;3,76;14,9;3,91;20,62;9,87;53,04;28,76;2,02
Fri;17;06;2016;09:30;267,07;53,81;24,29;17,05;36,77;3,76;14,91;3,91;20,67;8,89;52,2;28,77;2,02
Fri;17;06;2016;09:45;267,13;53,85;24,43;17,03;35,8;3,76;14,88;3,92;20,63;8,87;53,17;28,77;2,04
Fri;17;06;2016;10:00;268,39;53,91;24,22;17,01;35,84;3,77;14,86;3,92;20,73;9,89;53,31;28,88;2,05
Fri;17;06;2016;10:15;267,5;54,19;24,32;17,05;35,84;3,76;14,84;3,91;20,65;8,9;53,13;28,85;2,05
Fri;17;06;2016;10:30;267,16;53,67;24,37;17,06;36,92;3,77;14,85;3,92;20,68;8,85;52,18;28,86;2,05
Fri;17;06;2016;10:45;267,37;53,85;24,33;17,05;35,92;3,77;14,84;3,92;20,71;8,89;53,19;28,84;2,05
Fri;17;06;2016;11:00;268,21;53,88;24,33;17,08;35,83;3,77;14,84;3,91;20,7;9,9;53,13;28,79;2,05
Fri;17;06;2016;11:15;266,54;53,88;24,36;17,05;35,96;3,77;14,83;3,92;20,69;8,91;52,22;28,91;2,06
Fri;17;06;2016;11:30;268,52;53,87;24,36;17,06;36,88;3,83;14,83;3,92;20,7;8,92;53,2;28,91;2,04
Fri;17;06;2016;11:45;267,72;53,96;24,31;17,06;35,92;3,8;14,83;3,91;20,69;8,95;53,36;28,92;2,01
Fri;17;06;2016;12:00;267,61;53,91;24,38;17,06;36;3,8;14,83;3,92;20,71;9,91;52,15;28,94;2,01
Fri;17;06;2016;12:15;268,5;53,93;24,33;17,04;36,89;3,8;14,84;3,92;20,69;8,89;53,32;28,85;2
Fri;17;06;2016;12:30;267,26;53,9;24,36;17,06;35,85;3,8;14,82;3,91;20,75;8,9;53,07;28,82;2
Fri;17;06;2016;12:45;266,25;53,95;24,31;17,03;35,88;3,8;14,82;3,92;20,67;8,89;52,19;28,82;2
Fri;17;06;2016;13:00;268,36;53,89;24,37;17,07;35,87;3,79;14,81;3,92;20,71;9,93;53,13;28,86;2
Fri;17;06;2016;13:15;268,58;53,89;24,34;17,05;36,95;3,79;14,81;3,92;20,71;8,86;53,27;28,85;2,15
Fri;17;06;2016;13:30;266,52;53,91;24,41;17,05;35,86;3,79;14,81;3,92;20,72;8,89;52,14;28,9;2,13
Fri;17;06;2016;13:45;267,47;53,91;24,29;17,07;35,88;3,79;14,79;3,92;20,73;8,9;53,2;28,9;2,1
Fri;17;06;2016;14:00;269,61;53,91;24,43;17,06;36,96;3,79;14,8;3,92;20,73;9,9;53,29;28,81;2,01
Fri;17;06;2016;14:15;266,42;53,88;24,35;17,06;35,94;3,79;14,8;3,92;20,74;8,9;52,14;28,9;1,99
Fri;17;06;2016;14:30;267,64;53,92;24,39;17,08;35,91;3,79;14,8;3,92;20,75;8,9;53,31;28,87;2
Fri;17;06;2016;14:45;268,58;53,96;24,29;17,08;35,95;3,81;14,82;3,92;20,78;9,9;53,24;28,84;2,01
Fri;17;06;2016;15:00;268,13;53,91;24,36;17,08;36,99;3,8;14,8;3,92;20,78;8,9;52,72;28,84;2,01
Fri;17;06;2016;15:15;267,08;53,92;24,38;17,07;35,97;3,79;14,8;3,92;20,76;8,91;52,74;28,81;2,01
Fri;17;06;2016;15:30;267,78;53,99;24,31;17,06;35,91;3,79;14,8;3,91;20,81;8,94;53,37;28,88;2,01
Fri;17;06;2016;15:45;268,58;53,89;24,38;17,07;36,98;3,8;14,8;3,92;20,75;9,96;52,22;28,81;2,01
Fri;17;06;2016;16:00;267,63;53,99;24,33;17,07;35,91;3,79;14,82;3,91;20,75;8,92;53,24;28,88;2,01
Fri;17;06;2016;16:15;267,88;53,96;24,34;17,07;36,03;3,79;14,89;3,92;20,79;8,95;53,23;28,93;2,01
Fri;17;06;2016;16:30;267,62;53,94;24,38;17,05;35,91;3,78;14,86;3,92;20,7;9,9;52,33;28,84;2,02
Fri;17;06;2016;16:45;268,45;53,89;24,34;17,04;36,93;3,78;14,85;3,92;20,75;8,95;53,17;28,82;2,02
Fri;17;06;2016;17:00;267,66;53,93;24,33;17,03;35,98;3,79;14,86;3,92;20,77;8,93;53,28;28,84;2,02
Fri;17;06;2016;17:15;267,58;53,86;24,42;17,05;35,97;3,78;14,85;3,92;20,75;8,91;53,17;28,89;2,02
Fri;17;06;2016;17:30;268,92;53,94;24,3;17,05;36,91;3,78;14,81;3,91;20,74;9,87;52,72;28,88;2,02
Fri;17;06;2016;17:45;267,07;53,95;24,39;17,04;36;3,78;14,8;3,92;20,72;8,88;52,72;28,86;2,02
Fri;17;06;2016;18:00;267,4;53,91;24,37;17,02;35,91;3,78;14,8;3,92;20,76;8,89;53,23;28,82;2,01
Fri;17;06;2016;18:15;266,47;53,91;24,33;17,04;35,99;3,76;14,79;3,92;20,79;8,87;52,26;28,82;2
Fri;17;06;2016;18:30;269,44;53,96;24,33;17,02;36,94;3,75;14,81;3,92;20,79;9,9;53,18;28,87;1,98
Fri;17;06;2016;18:45;267,52;53,96;24,38;17,03;35,96;3,76;14,87;3,91;20,76;8,88;53,18;28,85;1,99
Fri;17;06;2016;19:00;266,36;53,9;24,34;17,02;35,91;3,75;14,82;3,92;20,8;8,87;52,2;28,84;1,99
Fri;17;06;2016;19:15;267,49;53,84;24,37;17,04;35,93;3,76;14,83;3,91;20,79;8,89;53,23;28,92;1,98
Fri;17;06;2016;19:30;268,6;53,82;24,4;17,03;36,98;3,75;14,87;3,92;20,85;8,88;53,18;28,94;1,99
Fri;17;06;2016;19:45;267,2;53,76;24,33;17,04;35,9;3,74;14,82;3,92;20,75;9,85;52,26;28,85;1,99
Fri;17;06;2016;20:00;267,43;53,8;24,4;17,02;35,95;3,74;14,85;3,92;20,82;8,88;53,17;28,9;1,99
Fri;17;06;2016;20:15;268,15;53,85;24,28;17,03;36,88;3,75;14,82;3,91;20,82;8,86;53,14;28,81;1,99
Fri;17;06;2016;20:30;266,32;53,81;24,27;17,06;35,94;3,75;14,79;3,92;20,79;8,89;52,24;28,87;1,99
Fri;17;06;2016;20:45;268,4;53,85;24,35;17,09;35,9;3,76;14,8;3,91;20,78;9,88;53,25;28,85;1,99
Fri;17;06;2016;21:00;267,34;53,81;24,36;17,07;35,94;3,76;14,8;3,92;20,77;8,86;53,13;28,93;1,99
Fri;17;06;2016;21:15;267,65;53,87;24,36;17,07;36,96;3,75;14,87;3,92;20,77;8,89;52,27;28,93;2
Fri;17;06;2016;21:30;267,58;53,86;24,35;17,1;36,03;3,76;14,82;3,92;20,77;8,87;53,23;28,89;1,99
Fri;17;06;2016;21:45;268,32;53,84;24,37;17,04;35,82;3,75;14,85;3,92;20,77;9,87;53,15;28,95;1,99
Fri;17;06;2016;22:00;266,6;53,87;24,44;17,06;35,94;3,76;14,86;3,92;20,75;8,87;52,29;28,86;1,98
Fri;17;06;2016;22:15;268,5;53,86;24,45;17,06;36,94;3,75;14,85;3,92;20,79;8,87;53,19;28,86;1,99
Fri;17;06;2016;22:30;267,59;53,82;24,45;17,06;35,99;3,75;14,88;3,92;20,72;8,88;53,22;28,9;1,99
Fri;17;06;2016;22:45;267,35;53,84;24,4;17,08;35,93;3,75;14,8;3,92;20,78;9,86;52,15;28,86;1,99
Fri;17;06;2016;23:00;268,34;53,8;24,41;17,07;36,94;3,75;14,79;3,92;20,73;8,89;53,16;28,9;1,98
Fri;17;06;2016;23:15;267,28;53,74;24,44;17,05;35,87;3,75;14,79;3,92;20,74;8,85;53,26;28,87;2
Fri;17;06;2016;23:30;266,11;53,76;24,4;17,06;35,85;3,74;14,8;3,92;20,71;8,87;52,15;28,87;1,98
Fri;17;06;2016;23:45;267,16;53,77;24,47;17,06;35,8;3,74;14,86;3,91;20,71;8,88;53,1;28,87;1,99
Sat;18;06;2016;00:00;268,16;53,75;24,45;17,05;36,88;3,74;14,83;3,92;20,72;9,83;52,17;28,84;1,99
Sat;18;06;2016;00:15;266,93;53,64;24,43;17,04;35,9;3,74;14,82;3,91;20,7;8,87;53,09;28,8;1,99
Sat;18;06;2016;00:30;266,84;53,69;24,4;17,02;35,74;3,74;14,86;3,92;20,71;8,87;53,09;28,83;1,98
Sat;18;06;2016;00:45;265,76;53,59;24,43;17,02;35,8;3,74;14,81;3,91;20,67;8,86;52,17;28,77;1,99
Sat;18;06;2016;01:00;268,48;53,55;24,38;16,99;36,81;3,74;14,85;3,91;20,65;9,85;52,99;28,78;1,98
Sat;18;06;2016;01:15;266,5;53,56;24,37;16,97;35,75;3,74;14,81;3,92;20,67;8,89;53,06;28,79;1,98
Sat;18;06;2016;01:30;265,28;53,52;24,37;16,96;35,76;3,75;14,8;3,91;20,67;8,84;52,02;28,7;1,99
Sat;18;06;2016;01:45;267,7;53,72;24,39;16,96;36,74;3,74;14,86;3,91;20,64;8,91;53,06;28,79;1,99
Sat;18;06;2016;02:00;265,93;53,35;24,37;16,95;35,7;3,74;14,76;3,92;20,64;9,82;52;28,69;1,99
Sat;18;06;2016;02:15;266,13;53,45;24,37;16,95;35,7;3,74;14,75;3,91;20,64;8,87;53,05;28,72;1,98
Sat;18;06;2016;02:30;266,03;53,48;24,34;16,95;35,73;3,74;14,74;3,91;20,64;8,88;52,96;28,69;1,99
Sat;18;06;2016;02:45;266,14;53,5;24,42;16,94;36,68;3,74;14,79;3,91;20,61;8,84;51,99;28,73;1,99
Sat;18;06;2016;03:00;266,03;53,53;24,34;16,92;35,58;3,74;14,82;3,92;20,61;8,88;52,99;28,72;1,99
Sat;18;06;2016;03:15;266,14;53,52;24,41;16,93;35,73;3,73;14,87;3,91;20,63;9,84;51,96;28,65;1,98
Sat;18;06;2016;03:30;265,94;53,53;24,36;16,9;35,59;3,74;14,86;3,91;20,6;8,87;52,94;28,67;1,98
Sat;18;06;2016;03:45;267,19;53,45;24,4;16,89;36,67;3,74;14,86;3,92;20,62;8,85;53,09;28,73;1,99
Sat;18;06;2016;04:00;265,02;53,55;24,4;16,89;35,68;3,74;14,86;3,91;20,61;8,86;51,91;28,65;1,99
Sat;18;06;2016;04:15;267,11;53,52;24,32;16,87;35,61;3,74;14,88;3,91;20,62;9,87;53,13;28,68;1,97
Sat;18;06;2016;04:30;265,94;53,48;24,37;16,88;36,68;3,73;14,86;3,91;20,56;8,9;51,94;28,65;1,99
Sat;18;06;2016;04:45;265,5;53,4;24,34;16,87;35,58;3,73;14,86;3,91;20,61;8,81;52,72;28,68;1,98
Sat;18;06;2016;05:00;266,22;53,52;24,38;16,88;35,68;3,73;14,86;3,91;20,61;8,85;53,17;28,64;1,99
Sat;18;06;2016;05:15;265,57;53,53;24,31;16,88;35,52;3,74;14,86;3,91;20,57;9,88;51,82;28,59;1,98
Sat;18;06;2016;05:30;266,92;53,45;24,35;16,9;36,66;3,73;14,87;3,91;20,61;8,85;52,94;28,67;1,99
Sat;18;06;2016;05:45;264,74;53,51;24,3;16,87;35,57;3,73;14,85;3,91;20,63;8,88;51,93;28,59;1,98
Sat;18;06;2016;06:00;265,8;53,4;24,38;16,92;35,61;3,73;14,86;3,91;20,58;8,84;53;28,6;1,98
Sat;18;06;2016;06:15;267,83;53,48;24,3;16,9;36,6;3,73;14,86;3,91;20,58;9,86;53,01;28,64;1,99
Sat;18;06;2016;06:30;264,88;53,45;24,33;16,9;35,6;3,74;14,85;3,91;20,63;8,88;51,93;28,66;1,99
Sat;18;06;2016;06:45;265,99;53,44;24,34;16,91;35,64;3,73;14,88;3,91;20,59;8,88;53,09;28,62;1,98
Sat;18;06;2016;07:00;264,73;53,45;24,3;16,92;35,58;3,73;14,86;3,91;20,56;8,87;51,97;28,59;1,99
Sat;18;06;2016;07:15;267,17;53,54;24,38;16,9;36,7;3,73;14,86;3,91;20,64;8,88;52,95;28,7;1,98
Sat;18;06;2016;07:30;266,99;53,46;24,35;16,92;35,59;3,73;14,87;3,91;20,61;9,89;53,02;28,65;1,99
Sat;18;06;2016;07:45;264,91;53,53;24,34;16,91;35,7;3,74;14,87;3,91;20,61;8,85;51,86;28,61;1,99
Sat;18;06;2016;08:00;266,44;53,66;24,33;16,91;35,72;3,74;14,89;3,91;20,61;8,87;53,17;28,66;1,99
Sat;18;06;2016;08:15;266,36;53,54;24,4;16,92;36,69;3,74;14,88;3,92;20,65;8,88;52,08;28,69;1,99
Sat;18;06;2016;08:30;267,39;53,67;24,35;16,99;35,73;3,74;14,88;3,91;20,61;9,86;53,01;28,66;1,99
Sat;18;06;2016;08:45;266,56;53,68;24,4;17;35,72;3,74;14,89;3,91;20,61;8,87;53,05;28,7;1,99
Sat;18;06;2016;09:00;266,74;53,75;24,38;17,01;36,68;3,77;14,89;3,91;20,7;8,9;52,09;28,67;1,99
Sat;18;06;2016;09:15;266,72;53,67;24,42;17,04;35,76;3,78;14,92;3,92;20,62;8,86;52,98;28,78;1,99
Sat;18;06;2016;09:30;267,79;53,75;24,35;17,03;35,74;3,78;14,92;3,91;20,63;9,89;53,09;28,73;1,99
Sat;18;06;2016;09:45;265,91;53,75;24,36;17,03;35,76;3,78;14,88;3,92;20,66;8,91;52,17;28,71;1,98
Sat;18;06;2016;10:00;267,72;53,77;24,3;17,07;36,73;3,77;14,87;3,92;20,62;8,87;53,09;28,73;2
Sat;18;06;2016;10:15;266,02;53,77;24,38;17,03;35,86;3,77;14,84;3,91;20,74;8,87;52,13;28,74;1,98
Sat;18;06;2016;10:30;267,04;53,77;24,4;17,03;35,8;3,77;14,89;3,92;20,68;8,89;53,13;28,77;1,99
Sat;18;06;2016;10:45;267,77;53,83;24,32;17,01;35,76;3,77;14,8;3,91;20,71;9,86;53,04;28,79;1,99
Sat;18;06;2016;11:00;267,12;53,81;24,36;16,98;36,82;3,78;14,8;3,92;20,71;8,9;52,29;28,78;1,99
Sat;18;06;2016;11:15;266,96;53,78;24,4;17,01;35,79;3,77;14,79;3,92;20,68;8,88;53,11;28,84;1,99
Sat;18;06;2016;11:30;266,97;53,74;24,38;16,98;35,87;3,77;14,79;3,91;20,67;8,92;53,15;28,8;1,99
Sat;18;06;2016;11:45;268,09;53,8;24,38;16,98;36,82;3,77;14,8;3,92;20,67;9,87;52,24;28,83;1,99
Sat;18;06;2016;12:00;266,99;53,86;24,31;17,02;35,86;3,77;14,79;3,92;20,67;8,88;53,11;28,84;1,99
Sat;18;06;2016;12:15;267,15;53,89;24,36;17;35,81;3,77;14,78;3,91;20,73;8,89;53,19;28,82;1,99
Sat;18;06;2016;12:30;266,06;53,85;24,4;17,02;35,82;3,78;14,78;3,92;20,62;8,89;52,17;28,84;1,98
Sat;18;06;2016;12:45;269,15;53,85;24,35;17,01;36,9;3,77;14,78;3,92;20,73;9,9;53,12;28,82;2
Sat;18;06;2016;13:00;267,04;53,85;24,34;16,99;35,79;3,77;14,79;3,91;20,69;8,9;53,18;28,84;1,99
Sat;18;06;2016;13:15;266,16;53,87;24,36;17;35,91;3,78;14,78;3,92;20,67;8,86;52,21;28,83;2
